ra,dec,pmra,pmdec,parallax,parallax_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,teff_gspphot
201.84622951821444,-47.700070880088866,-3.7633720710925895,-7.243170882694089,0.1931390213053011,0.9929349,18.484066,18.827444,17.95785,1.0165477,5445.135
201.84801226721672,-47.69240820908364,-3.1351103599090404,-7.565113669711964,0.1508255954045256,1.6187996,17.160141,17.56463,16.604647,1.0621849,5283.885
201.80976850786232,-47.701033489186166,-3.211784018048108,-7.000246581772472,0.5651904386209331,2.6320875,18.668802,18.861034,18.005308,0.99700046,5548.376
201.80424444364544,-47.69359322956684,-3.3675803789732344,-6.594091187137583,0.3994057256629356,1.8556348,18.54388,18.908005,18.02468,1.1151904,5586.002
201.84037936784853,-47.662234288347946,-3.770747946366973,-6.797395335025602,0.1798354552875756,1.0794775,18.109245,18.275072,17.460947,1.0244992,5576.0166
201.85166631913543,-47.66650371549732,-2.8254320994048685,-7.511774181760973,0.1700274520153025,0.6532541,18.999949,19.47048,18.633045,0.9207388,5503.5664
201.6734749388266,-47.72352421922705,-2.9174816353287594,-6.526247983843083,0.1198017554184931,1.4692278,17.000366,17.456825,16.402225,1.0402588,5246.8276
201.66294886154452,-47.719962548767406,-2.9603461750498186,-6.373633551150556,0.1657475111100855,1.3772391,17.517323,17.937647,16.96307,1.0181049,5177.094
201.67142379154689,-47.70895354966543,-3.700277235833227,-7.346894581125687,0.0236046156585215,0.10298096,18.695555,19.03982,18.219437,1.0312121,5574.786
201.62367190948584,-47.71322450117717,-3.2458343261754976,-6.763097902760388,0.3212985842471307,2.0394228,17.497112,17.847933,16.992228,1.0620722,5524.3745
201.673512864577,-47.688603621506395,-3.38405901133184,-6.038101271812517,0.7416451983999763,2.408891,18.956846,19.351753,18.528397,1.0486449,5422.2524
201.6498002790981,-47.69970086724402,-3.533829850584402,-6.7517905320528,0.3528936925839605,2.2291706,17.966818,18.390171,17.427721,0.98599035,5295.971
201.66426173599876,-47.69308702811183,-3.867635483373701,-6.741589428132074,0.1474856414191345,0.7254376,18.46843,18.81538,17.952694,1.0064105,5458.597
201.625573656339,-47.69565354564467,-3.844578286240574,-6.356477233362615,0.4252849463092588,2.774578,17.699322,17.918232,17.312052,1.0305371,6422.519
201.6151513570265,-47.678421690517546,-3.613443602671219,-7.018665109579063,0.205198253712634,4.155632,13.939535,14.497343,13.210677,1.7068902,5759.386
201.6399460267182,-47.68470567701333,-3.7960728490922655,-6.258285715237169,0.1612505406626057,7.138545,12.404851,13.044221,11.630224,1.2023672,5518.258
201.64985708412857,-47.67685071786655,-2.892879524548456,-7.013485153562153,0.2385991717262027,1.1359801,18.424694,18.693195,17.846056,1.0427976,5543.115
201.620320681481,-47.678834742881314,-3.661942342152985,-6.644535450187137,0.6241052244965934,1.7218946,18.787945,18.99172,18.13433,1.1398638,5558.4673
201.62819392087536,-47.682845926567325,-2.9614515394039698,-5.642413288292294,0.2665572266646014,1.5227636,17.944738,18.273634,17.43901,1.0465176,5581.4985
201.63906050389383,-47.66465833182182,-3.6751421497030714,-6.150027739032127,0.1429016781896474,0.76021105,18.244528,18.474804,17.662998,1.0424494,5559.1753
201.64477268035293,-47.669033510998936,-3.67333179570618,-6.254080121383087,0.1532644814996562,2.295871,16.104887,16.55066,15.468865,1.1659974,5512.078
201.7161398857162,-47.711529849529065,-3.2601585540724685,-7.573693951087059,0.4339643609945939,1.6042517,18.951672,19.366041,18.491251,0.95309925,5482.861
201.74170911772865,-47.70830753530605,-4.033593300352846,-6.8018444843391865,0.4130313195379812,1.6967086,18.680716,18.972603,18.130257,1.0736814,5557.1616
