ra,dec,pmra,pmdec,parallax,parallax_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,teff_gspphot,bp_rp,absolute_G
201.62033381404336,-47.67563915439938,-3.4535287101980616,-6.34111875332798,0.2282578728418913,5.453823,14.961082,14.940955,14.994364,0.9547932,16948.74,-0.053408999999998485,1.7532108285743977
201.75318101971615,-47.68549047230554,-3.558018085928022,-6.539544240927464,0.3122663447638466,3.2790842,17.004295,17.175089,16.51042,1.1381508,6183.2607,0.664669,4.476920898240772
201.69144070691848,-47.711100630297715,-3.482536453721594,-7.446483085554027,0.3072820284870309,5.2553673,16.1015,16.564163,15.469513,1.0541462,5802.105,1.0946500000000015,3.539185805558713
201.78092118660325,-47.63626373255035,-3.612067328111524,-6.926231601921865,0.3448609536047127,3.0315526,17.358896,17.67046,16.746801,1.0027161,5307.223,0.9236589999999971,5.04711612385236
201.7225342393563,-47.65951877524522,-3.0493694395635016,-6.554438423807273,0.1650809788287004,3.0314991,15.922836,16.37488,15.29971,0.96593094,5994.6865,1.0751700000000017,2.0113211765612693
201.71738214075995,-47.65731868690772,-3.206572821741526,-6.287133736289261,0.2511261309612414,5.010244,15.459363,15.935927,14.816911,0.9778155,5324.105,1.1190160000000002,2.458822528156748
201.6776509720788,-47.66703604487818,-3.581660949910284,-5.780465913837389,1.1684572074532744,5.1673703,18.535105,18.915255,18.064264,0.98702174,5549.0005,0.8509909999999969,8.873169059006152
201.7645604212325,-47.619419359689125,-3.0343181072781,-6.374509732519233,0.2569608044608461,3.0487413,16.584738,17.054823,15.9635515,1.0394907,5156.2407,1.0912714999999995,3.634072416178636
201.79723129045811,-47.59557797620517,-4.242376547033237,-6.012195325062166,1.1086066194119109,3.6531498,18.534307,18.519327,17.654812,0.8886394,5552.575,0.8645150000000008,8.758194337029476
201.8050042598945,-47.5991889885524,-3.5670102305482105,-6.980035425128227,0.1475222264321586,4.561353,14.602829,14.710177,14.34175,1.0233122,9669.431,0.3684270000000005,0.447116291049948
201.75031867634908,-47.60376347756424,-4.46610077897237,-6.692997094555903,0.3429792623785012,5.6118965,15.694057,16.07881,14.990433,1.1596816,5678.431,1.0883770000000013,3.3703963100265053
201.9289593417691,-47.66823944168456,-3.4272132682823333,-6.8992358767350686,0.1931225487926497,3.9173336,16.143068,16.591532,15.52451,0.97223425,6029.146,1.0670220000000015,2.572232922612651
201.92775343613363,-47.66174095137957,-2.65086925090521,-6.433894466074133,0.1527130867639365,5.455045,14.75613,14.851191,14.596888,0.97360194,7998.169,0.25430300000000017,0.6755112778109922
201.9335303584245,-47.65833705738177,-3.94908508047579,-6.7067901850415526,0.1957502331111501,12.693831,11.737988,12.473161,10.903126,0.8619887,4549.211,1.570034999999999,-1.803500560428617
201.87746942828892,-47.64197519086145,-3.8944302677204767,-6.578329679869622,0.4329728748707064,3.0884366,17.665617,17.928493,17.027283,1.0736839,5284.192,0.901209999999999,5.847920446397605
201.89262525501212,-47.61147015064997,-3.279160792695653,-6.435375788830856,0.2409538278399808,3.5313299,16.396189,16.858767,15.783127,0.9930888,5274.3496,1.07564,3.3058581498986594
201.90227498114896,-47.59437010953882,-4.039204893267557,-6.667546127233031,0.3083893889604425,4.1896763,16.559433,16.996775,15.855987,1.1306329,5338.7827,1.1407879999999988,4.004930132316005
201.86446092775975,-47.59979469981888,-3.9217317983359616,-7.039758108851023,0.3356466093049485,3.6471019,16.726002,17.149616,16.095335,1.1441151,5348.5635,1.0542810000000031,4.355413321546473
201.90572234957585,-47.57821139090583,-2.4398090950413476,-6.246905179857855,0.4176579122594159,3.3830485,17.744518,17.945648,17.13862,1.0756443,5678.269,0.807027999999999,5.848621566241464
201.8852169061996,-47.57676312845826,-2.552709531283276,-7.08791143208869,0.1840381623588396,3.107413,16.067736,16.478401,15.392254,1.0027586,5336.8315,1.0861470000000022,2.392275440682763
201.9829482689513,-47.5370944584888,-3.234185237680248,-6.757801979030217,0.169817859254037,3.3249805,16.225311,16.643433,15.581088,0.98130023,5504.2495,1.0623450000000023,2.37522780903371
201.94179778187527,-47.54565703550841,-3.9586810484635326,-6.428797524596723,0.1715520500266987,6.856803,14.596847,14.808019,14.221639,0.87136257,7085.8447,0.5863800000000001,0.7688265609543574
201.93176371597448,-47.546437128986355,-3.117828793534957,-7.876577175579875,0.1063021223276303,4.304114,14.573682,15.050453,13.8718195,1.0515939,5780.987,1.1786334999999983,-0.2936083233864544
201.9703778862384,-47.53634510563401,-2.5437758263619745,-7.139107856198211,0.2685520912846423,3.0833273,16.993591,17.276709,16.278513,1.2001586,5358.424,0.9981960000000001,4.138733693441113
201.98170505928937,-47.51050897437304,-3.3432212770526624,-7.054046107801367,0.2574914326743011,6.045962,15.790921,16.249285,15.129487,1.0829518,5920.455,1.1197980000000012,2.8447349182613166
201.85742416447323,-47.58348711945763,-2.9736131556308663,-6.851545792684955,0.1265687615079432,3.4539454,14.849171,15.33582,14.18751,0.9987372,6103.192,1.1483100000000004,0.36080365246719737
201.8368045965102,-47.56576821110818,-3.540856141243074,-6.325009380405482,0.4755611295078919,6.2628703,15.78411,15.719653,15.528795,1.1421927,15134.709,0.19085799999999864,4.170141749391432
201.9569833807861,-47.51657051318017,-3.861736170131925,-7.511612341805603,0.2223418643594438,3.62887,16.499899,16.783491,15.756101,1.0631145,5885.602,1.0273900000000022,3.235005214720994
201.97567550996456,-47.50306754728248,-3.902158477124042,-7.456785785536628,0.1911690331995392,5.9302125,15.052247,15.509746,14.366221,1.0719851,5765.4727,1.1435250000000003,1.4593347189954322
201.94084551147571,-47.49922747251293,-3.1985824124798548,-6.218753419019251,0.1971130010808041,3.9854274,16.00003,16.387262,15.338891,1.1186404,6342.7637,1.0483709999999995,2.4736063510126414
201.89862802583303,-47.519441180795965,-2.9781662375226805,-6.886495293334098,0.1447941168713687,3.0398967,15.628517,16.005047,14.869622,1.2592188,5887.6025,1.1354250000000015,1.4322715820195047
202.0443233329244,-47.50682933350987,-3.6227668526511945,-6.983559115495641,0.1305142338621346,7.349937,13.385887,13.982224,12.646917,0.97314006,5202.8647,1.3353070000000002,-1.0358236082690375
202.03406519840175,-47.49998904312333,-3.6851118354792174,-7.045906800062729,0.1562178909703139,4.109606,15.615165,16.08249,14.97324,0.94273263,5743.145,1.1092499999999994,1.5838188514431728
201.9825947313312,-47.47456002720906,-3.1980205923273513,-6.788502211630199,0.7625395596144315,5.1274247,17.922018,18.277956,17.468657,1.067623,5647.362,0.8092989999999993,7.333329896334078
202.0190877597028,-47.46049599519596,-3.718795044779021,-6.261840952469269,1.262281277518152,4.475213,18.5353,18.801533,17.865437,1.3279274,5419.006,0.9360959999999992,9.041080703473579
201.9949832301166,-47.44041675521,-4.321155807582578,-6.852571106730194,1.029648013520346,4.1451426,18.870222,19.164118,18.2533,0.88791895,5400.367,0.910817999999999,8.933665929780602
201.39029932250415,-47.53705807792657,-3.1460734840219855,-6.5800972775747475,0.2499376919250933,3.1016681,16.835745,17.29382,16.235918,1.0921032,5228.7383,1.0579019999999986,3.824903774844387
201.35959119603024,-47.529776176555465,-2.5994205620792927,-6.691359083759821,0.7340217935948418,3.7139268,18.655233,19.015816,18.228426,0.98858076,5549.656,0.787390000000002,7.983777772996362
201.36172141896276,-47.507754366864575,-3.015509017448361,-7.213986269394679,0.4887289594107002,3.0972447,18.26758,18.605038,17.717651,1.0135868,5522.4976,0.8873870000000004,6.712920368556443
201.3591461724238,-47.5145212881287,-3.152203204960462,-6.687932332209142,0.1904404898001585,7.262349,14.456911,14.971301,13.763973,1.0112166,6008.1514,1.2073280000000004,0.8557074489008478
201.32902586151343,-47.48082609760037,-4.006973668894241,-7.204502757703677,0.1491442035093991,8.180123,12.695916,13.312511,11.939028,1.0038992,5864.7983,1.3734830000000002,-1.4360521041613126
201.6329047619108,-47.63924556704087,-3.849109493009331,-6.162435540644572,0.1202532213894751,4.761651,14.18069,14.697142,13.490758,1.0387726,5901.7827,1.206384,-0.4188264037546858
201.641542803893,-47.642728051799054,-3.611359196074228,-6.2981347560619945,0.1604410967011028,5.656528,14.212097,14.73538,13.514531,0.9601933,5831.717,1.2208489999999994,0.23867510977945372
201.6367539846981,-47.63144052353014,-3.2576113511500955,-5.941317134484833,0.5608129596684057,3.192853,17.865707,18.002775,17.178085,1.271477,5721.3057,0.8246900000000004,6.609797205315871
201.46272763474036,-47.65098841385936,-3.289333896616749,-6.504169673204408,0.604913149432594,3.0523589,18.641579,18.924667,18.096243,0.99058056,5412.459,0.8284239999999983,7.550044125908766
201.54936050822187,-47.629830018160774,-4.244998919271984,-6.759379444673764,0.376830745973126,3.1153433,17.180506,17.503819,16.55364,1.1242034,5236.0947,0.9501789999999986,5.061237650297944
201.62401813848652,-47.58707233766861,-3.1051596663847234,-6.319305841792945,0.1696175234463177,4.906506,14.987805,15.375986,14.241778,0.93188405,5703.2397,1.1342079999999992,1.135158589335445
201.57440089016453,-47.599757893325496,-3.23106975345187,-6.1010825511883215,0.4254124356118499,3.1250787,17.72915,18.068537,17.171371,1.0401355,5513.337,0.8971659999999986,5.873200905015828
201.6130794275173,-47.573731601381326,-3.8119845992558226,-6.699958606901038,0.2329138267236506,4.47456,15.476989,15.805567,14.732408,1.2645881,5665.1606,1.0731590000000004,2.312965354041884
201.67028152561417,-47.62552649867838,-2.383907112696889,-6.791944431262756,0.1417923405504927,5.511248,14.217527,14.582512,13.660543,1.0585464,15030.002,0.9219689999999989,-0.024209142890974533
201.68479145548463,-47.61280761045165,-3.613307402497484,-6.493502987454429,0.0815751408988421,3.6022172,12.824562,13.385277,12.092842,1.1405122,5783.717,1.292435000000001,-2.6176488370699262
201.6934600742677,-47.619578460681275,-3.4026472289648204,-7.313810374177798,0.1588673760812352,5.037928,14.637999,14.73131,14.4472275,0.987286,7497.3613,0.28408250000000024,0.6431726130803312
201.69680119865805,-47.57011934025789,-3.301373427013395,-6.986305104163252,0.186535523298572,10.112343,12.529423,13.21949,11.722967,1.0512098,4591.73,1.4965229999999998,-1.116769250818992
201.7435452239696,-47.58357930398099,-4.058481971234891,-6.270237930916283,0.1366397027322504,5.1110253,13.753863,14.285644,13.02957,1.0815629,5839.3765,1.256074,-0.5682524574367864
201.7703995981745,-47.575321956927546,-3.65449741199586,-6.262595709868077,0.3286478758244947,3.9143014,16.11213,16.3449,15.239056,1.3383547,5195.8745,1.1058439999999994,3.6957841480799267
201.74172520045352,-47.53145142313606,-4.71939528618736,-6.27090983072914,0.1219710454558607,3.8471246,13.591777,13.984001,12.835136,1.0858896,23278.771,1.148864999999999,-0.9769392683961353
201.76656523091503,-47.54647337828179,-2.6836368719258603,-7.078674184097425,0.1536946137977655,5.0513306,13.322634,13.822735,12.468894,1.1007626,5163.141,1.3538409999999992,-0.7440727600580974
201.6367210456495,-47.598048111420624,-3.3366086105091064,-6.907128404240826,0.6482101361530805,3.5015295,17.977552,18.063934,17.242393,1.169708,5583.7944,0.8215409999999999,7.036131089365963
